,hasilpreproses
207,"Bagus . Termasuk wisata khusus bukit kapur . Sangat disarankan kesana musim hujan , danaunya airnya . Kalau musim kemarau danau kering . Ada goa goa kapur ornamen . Bagus berfoto ria . Kalau …"
208,Masih alam banget . Banyak truk ambil batu kapur . Tempat luas .
209,Tempat keren foto panas banget . Jd usahakan bawa kaca mata . Oiya kesana pulang malam kabar orang rawan arah bukit jaddih .
210,"Lokasi bagus , berteduhnya minim warung-warung . Masuk enggak ada karcisnya"
211,"Tempat penghilang penat kesibukan dikantor bersahabat dompet , akses jalan raya perkampungan sempit . All around very nice ."
212,"Perbukitan kapur gersang petunjuk arah fasilitas minim . Sejumlah warung tenda menu seadanya , sekedar kopi & mie instan , pengembangan . Masih alat2 berat hilirmudik , berhati2 . Tiket …"
213,"Ini salah penambangan batu kapur instagramable Madura . Hanya disayangkan dikelola benar-benar jalan masuk , pengelolaan , parkir tiket masuk berantakan . …"
214,"Tempat bagus , bersih tempatnya , sampah , disarankan malam Hari alasan keamanan ..."
215,view foto keren wilayah .. cocok hunting prewedding outdoor .
216,Banyak pungutan . Di pintu masuk dimunta biaga parkir 5rb rupiah . Bbrp meter dimintain 20rb . Pas buka pintu mobil uang 12rb .... banget deh ....
217,"Perjalanan terencana . Alhamdulillah teman orang-orang . Di jemput Malang , main keliling Surabaya melewati jembatan suramadu . Menyebrang selat madura , pengalaman . Pertama kali menginjak kaki pulau madura ."
218,Baru kali mengunjungi ... lumayan bagus spot fotonya ... akses jalannya diperbaiki
219,Suasana alam menakjubkan sayang terawat lengkap fasilitasnya
220,Meskipun SDH sepi ... Tpi sore asyik
221,"Panas , debu , pakai masker , cocok off-road , hamparan pasir putih batuan kapur , tutup jam 5 , truk pengangkut batu ."
222,Jalan bukit jaddhih goyang2 bis .. terbayar tempatnya bagus🥰 …
223,"Jalanan tkp berdebu rusak , ,taman wisata terawat . Cuaca panas terik ."
224,Klo kesana mending pakai jasa guide . Jd ngarahin spot2 bagus foto-foto . Biar potonya keren
225,"Disini cocok dikunjungi sore / pagi terik matahari menyengat . Suasana bukit jadih sejuk , main kesana cuaca terik panas turun gerimis sebentar …"
226,"Tempatnya bagus . Hanya cuaca panas siang . Selain dikelola . Waktu tiket mobil Rp 20.000 , - . Sementara orang bayar @ Rp 5.000 , - ."
227,"Tempatnya asyik dikunjungi , menambah adrenaline motor , musim kemarau wajib pakai masker sangat-sangat berdebu membahayakan paru-paru ..."
228,"Tempatnya luas & spot foto bagus . Namun efek berantai pandemi covid berpengaruh bukit Jaddih , tempatnya terawat , kios penjual makanan tutup , akses jalan dirawat , menyulitkan bus …"
229,Spot fotonya bagus tahan tambang kapur suara mesin nambang .
230,Tempatnya enak pengin
231,"Dulu , loket , ... diterik bayaran spot . Semoga ."
232,"wisata alam low budget dikunjungi usia , pesona alamnya . berkunjung pastikan kendaraan menjangkau track menanjak curam"
233,view bagus tempatnya luas . berhati hati kegiatan pertambangan disana .
234,"Bukit Jaddih . Bangkalan . Madura Merupakan GUNUNG KAPUR GOA POTEH ( GOA PUTIH ) , pemandian kolam renang sumber air alami , wisatawan lokal kota kemari ."
235,"Bukit kapur . Pertama banget kesini serba putih . Jalanan daunan pohonan rumahan putih . Keren sih pahatan/potongan . Sayang banget restribusinya kayaknya teratur . Mau masuk ditarik , nyampek ditarik"
236,Banyak spot menarik berfoto keluarga teman
237,"PARKIR HABIS 60RB ! 😁 Emezing . spot foto ditarikin duit20rb parkir mobil . Pintu masuk ditarik 20rb kasih karcis , keatas cegat , ditarok 20rb wkwkw dikasi karcis , parkir , pulangnya …"
238,Akses jalan bagus . Baru diikutin orang . Mungkin warga lokal . Tapi bikin risih mengikuti terkesan maksa . Kalau niatnya dijadikan destinasi wisata perhatian pemerintah .
239,Ada pemandian . Tiap palang bayar . Per mobil 10.000 orang 3.000
240,"Instagrammable panas , kering medan kesana digolongkan mudah . Karena kemarau , kesana Goa Pote airnya ."
241,"Pemandangan bagus bersih , pertambangan kapur diola wisata . Akses jalannya mudah harga tiketnya murah . Cocok sih sesi foto prewed spot2 foto memiliki view bagus . Tersedia parkir luas"
242,"Tempat wisata elok , foto instagramable disukai kaum muda , penyewaan rakit disekitar danau ."
243,"Tempat bagus berfoto , petunjuk medan perjalanan terjal . Pelayanan pengelola bagus ."
244,"Salah lokasi wisata icon madura terketak desa jaddih kabupaten bangkalan , benar-benar bukit kapur hias macam-macam pahatan danau kolam renang , masuk lokasi susah beraspal …"
245,Akses jalan memadai mengunjungi wisata . Jalanan tergolong sepi . Sangat rawan malam . …
246,"Kesini kalinya niatnya survey penelitian . Pas masuk jalan desa kas desa , ditanyain pengelola , masuk anak muda uang 10rb untungnya …"
247,"Salah wisata madura , menawarkan pemandangan bukit kapur dimana aktifitas penambangan ambil kapurnya . Hanya bintang 3 sampah berserakan , wisata seakan “ alakadarnya ” . …"
248,"Bukit kapur ditambang , parkir kali , loket resminya 😕 hati hati premannya .. 💪 View bagus 😍 …"
249,"Bukit kapur putih keren hobi hunting foto . tinggal pinter2 cari spot foto hasil foto keren . saran nyaman pagi sore , siang puanas banget berdebu aktifitas penambang truk pengangkut beroprasi ."
250,"Asalnya gunung kapur ditambang kapurnya kebutuhan konstruksi . Setelah kebutuhan tambang view bagus . Lengkap goa2 putih buatan , kolam renang dikelilingi pemandangan bukit kapur ."
251,"Masyaalloh , keren view.nya.tapi hati '' debunya tebal .. pakai kacamata biar kelilipan .. habis lupa cari carwash , hujan hujan debu.nya menempel tebal banget warna.nya putih .."
252,"Panas menarik , harga tiket masuk motor Rp . 20.000 , - mobil Rp . 40.000 , - ( Maret 2018 ) . Berhati-hati mengendarai kendaraan tebing berhati-hati ."
253,"Good view , fasilitas oke . Tak petunjuk orang . Pdhl kesana minggu . Trus bayar karcis masuknya . Secara pemandangan keren ..."
254,Gak sengaja kesini kosong main madura . Lihat objek wisata terdekat langsung mampir . Pertama kecewa lokasinya aman kegiatan penambangan suara alat berat …
255,"Alhamdulillah kali kesana kena pungli , bayar 5 ribu masuk ibu-ibu jaga warung . Saya sarankan berangkat pagi biar kepanasan . Karena berangkat siang panas …"
256,"Datang kesini lihat rekomendasi wisata menarik Madura . Lokasi sulit lalui , akses jalan sempit . Untuk pemandangan bagus menarik , Tapi kekurangannya kesana oknum Pungli …"
257,"Salah destinasi wisata daun Pulau Madura , lokasinta Jembatan Nasional Suramadu . Pengunjung dikenakan tiket masuk & parkir kendaraan . Selain bukit kapur instagramable kolam …"
258,"Alhamdulillah , pertamakali kesini 2015 . Ternyata 3 Bukit Jaddih berubah . Banyao spot-spot menarik explore . Juga kawasan eisata diperbaiki . …"
259,"Tempat wisata alam indah , unik menarik . Terdapat fasilitas parkir , warung , toilet . Disini kolam renang ."
260,"Kereeeen . Begitu , atmosfernya serasa pegunungan China . 😬 …"
261,"Tempat Wisata Yang Sangat BAGUS INDAH , , , 1 kendala & teman-teman kesitu P.U.N.G.L.I akses jalan PARAHnya W.O.W ..."
262,Tempat bekas penambangan batu putih view bagus foto-foto artistik . Ada kolam renang danau
263,Bagus .. kelola serius .. jalan lokasi .. aset daerah pemerintah turun tangan .. 👍👍 …
264,"Kalo Jogja namanya bukit breksi . Tapi alami . Walau dimana-dimana bukit batu , pepohonan panasnya . Pemandangan eksotis , serasa negeri . Ada kolamnya driver Surabaya …"
265,Pemandangan bagus hasil penambangan . Tetapi lokasi wisata menawan danau hasil galian kolam renangnya
266,"Gersang bukit kapur , bentuknya bagus sih bks diambilin batunya"
267,"indah , cocok healing lihat pemandangan , foto-foto 👍🏻👍🏻👍🏻 …"
268,Wisata alam mengandalkan lokasi penambangan kapur . Ada danau air berwarna hijau . Pengunjung mengelilingi danau perahu . Tiket masuk Rp 5.000 . Naik perahu Rp 5.000 .
269,Hawa panas . Naik kapal 5000\orang . Uang masuk 25.000\mobil
270,Tempat penambangan batu kapur madura hitz spot foto.Mau berbagi pengalaman warga sekitar.Pada kesana salah masuk pintu penambang kapur …
271,Tempat direkomendasikan dikunjungi liburan sekeluarga . Ada wahana kendara kuda perahu apung . Pemandangan indah trek menantang .
272,keren . sayang Sepertinya terawat .
273,Instragrameble .... Tp pungli ( portal dikenakan biaya masuk 20rb )
274,"Betul panorama mengagumkan ciptaan Illahi , Eksplorasi multi konsep , ekonomi pertambangan & nilai artistik wisata"
275,karcis 2 kali mahal potongan kayak preman sepi 0engunjung
276,"Menurutku sih tempatnya bagus , cuman cuacanya panas . Kalo tiket masuk parkir kayaknya beda . Tapi pengin kesini banget , jaraknya lumayan sih jalan raya ."
277,"Wisata bekas penambangan batugamping , vegetasi . Lokasi aesthetic , disekitarnya penambangan debu"
278,"Kondisi terawat pandemi masim kemarau , danau , kolam kering . Pengunjung ramai ."
279,Bagus . Yg angle kameranya mendukung . Tebing breksinya Madura .
280,"Untuk pemandangan , Subhanallah indahnya , Saya tambang Batu , hati hati memasuki wilayahnya , Ada kendaraan proyek lalang . Yg kecewa pengelolaannya semrawut , …"
281,Tambang batu kapur dijadikan wisata . kolam air berwisata perahu pemandian berenang2 . …
282,Tempatnya keren fasilitas turis kak tambang kapur
283,"Place for take a picture only , bukit eksploitasi diambil batu kapurnya . Sangat panas cocoklah berfoto - foto . Akses mudah 30 menit jembatan suramadu"
284,Masuk mobil 20 ribu . Masuk orang 5 ribu orang .
285,"Tempat , bagus , nyaman , perbaikan pembentukan batu batu objek wisata , maksimal nikmati , kunjungi spot foto keren"
286,Masuk kampung Pungli .. Masuk Area tarik bayar karcis 20K mobil .. Terus parkir bayar .. 😃 …
287,"Ga komen banyak-banyak , recommended banget , explore keasyikan tidur anginnya sepoi-sepoi banget"
288,"Tempatnya bagus eksotis , alami dikelola maksimal ala kadarnya .. operasional pengambilan kapur ... wisata , masyarakat sd menerima tamu"
289,one of the beautiful places take pictures and relax . Bekas tambang batu bata disulap wisata
290,"Bukit kapur . Waktu kesana oktober panas banget . Dan berdebu banget . Masih perbaikan penyempurnaan sih . Cuma debu kapurnya ..... Belum dikekola . Untuk parkir 2x bayar , dihitung orangnya . Sayang banget"
291,"Rute lokasi mudah , tinggal lihat google maps . Jalannya lumayan bagus , mobil & motor . …"
292,"Tempatnya sih , know puanaaaaasssnya ampun . Kalo enggak mau gosong pakai sunblock spf 50++ 2botol deh 🤣 jalan masuknya lebar , jalan desa dimintain sumbangan seikhlasnya . Nah majuan dikit loketnya 1 …"
293,Instagramable panas sih . Karena area bukit kapur aktivitas tambang ( ? ) Jadi lumayan backsound khas : ) ) …
294,"Tempatnya lumayan bersih kolamnya , tempatnya bagus ambil foto panasnya"
295,"Tukang karcis ramah . Tempat wisatanya terawat . Kotor tandus , airnya keruh banget . Tidak rekomen banget deh ...."
296,Objek wisata terawat sebagus sepi pengunjung weekend pungli disana tolong berantas oknum² nakal mencari keuntungan disana ..
297,"Instagram able banget . siang ... panas berdebu . menjelang sore . terkoordinir , kemarin bayar parkirnya 2x ( satunya dikasih karcis ) …"
298,"Pemandangan ditawarkan indah banget , tempatnya berangin , truk suka lalang , aslinya panas panas deh"
299,"Tempat indah unk ambil foto , liburan keluarga , kerabat siapkan masker baju topi jaket , lumayan panas , pengalaman mudah percaya orang mengaku pengelola calo diluar memasuki temoat ."
300,"Tempat sepi weekday , weekend . Jalan gang masuk bukit berpasir susah berdebu mengendarai motor ."
301,"Tempat bagus , udara enak berangin , gatahan panas debu banget , konstruksi goa pote . Dan pekerja mengambil batu kapur ."
302,Kurang sip . . Pemerintah mengelola wisata biar bagus dikunjungi . . Perlu gazebo foodcourt biar bersantai
303,Syang tempatnya terawat pandemi ..
304,Bukit Kapur Jaddih Tempat pertambangan batu kapur …
305,"Bagus .. sayang jalan sempit petunjuk arah , orang sanapun .."
306,"bagus , pemandangan bukit indah cuaca mendukung panas udara sejuk"
307,"Tempat epik bagus foto , bersih , akses jalannya bagus ."
308,"Tempat rekreasi dimadura lumayan Surabaya . Sebaiknya kesini pagian panas banget siangan ... Pemandangan lumayan , bukit kapur keruk dibentuk ... Masuknya bayar bayar parkir mobil"
309,"Mumpung acara Bangkalan 2017 silam , sempatkan mampir Wisata Bukit Jaddhih . Entah penampakannya 2021 . Overall tempatnya bagus"
310,"Dari sisi pemandangannya bagus banget . Sayang fasilitasnya lengkap . Oh iya kesana lupa pakai kacamata hitam . Haha . Kalau panas , susah lihat , silau banget mostly putih2 silau mata"
311,Perlu pemerintah mengolah .. pungli butuh pengolahan.untuk pariwisata .. proyek
312,"Lumayan bagus , jalannya buruk . Tapi pemandangannya keren jarang ."
313,Lumayanlah foto-foto .. kesana airnya .. prahu deh
314,"Tempat wisata cocok foto-foto pemandangan bukit kapur danau biru buatan . Harganya , bayar parkir . Di kolam renang bersih , perahu getek foto-foto ditengah danau biru . …"
315,"Pintu masuknya tandanya , panas , .... berteduh , lupa bawa payung sunblock kebiasaan panas , Masuk 20k …"
316,Bagus keseluruan tempatnya mantap masuknya bayar pintu utama .....
317,Walau worth . Tiket motor 10000 . Lalu tiket masuk orang 5000
318,Bukit buatan keren abiisss cocok hangout bareng teman .. view indah ..
319,"rekomended madura , cocok potopoto , hatihati cuaca panas cerah , airnya biruuuu banget , tambang aktif berisik suarasuara mesin , kolam renang gua , pilihan terhitung ddari surabaya , berbekal GPS feeling 40menit-an"
320,"Awalnya penambangan batu kapur . Lebih kesini pagi sore . Diusahakan kesini mobil , terpaksa motor rame-rame menghindari tindak pembegalan . Tiket masuk lumayan murah ."
321,Objek wisata instagramable .. bukit penambangan kapur putih letakny 30mnt bebek sinjai bangkalan 1.5jam kota surabaya .. hati-hati jalan kesini awas trjebak jalan alternatif beraspal .. sepi .. disarankn melewati jalan beraspal pulng pergi
322,"Lokasinya bagus foto preweding postweding . Sayang jalan kesananya seram , begal rumornya . Lbh mobil kesana . Dan siapkan uang ditariki biaya masuk ( alias pungli )"
323,"Tempat panas n berdebu lupa topi , kacamata n masker ... Tp panas rasakan terbayar pemandangan eksotis n instagramable"
324,Bukit kapur daerah bangkalan madura . Akses jalan jembatan suramadu . Lumayan jalanan sepi . Lebih rombongan siang . Pemandangannya bagus . Dan kegiatan penambangan lokasi . …
325,"Tempatnya unik , berdebu .. Kurang nyaman berlama-lama bawa anak ."
326,"Tempatnya bagus banget foto , instagramable banget , panas banget , harap dimaklumi dimadura cuacanya terik banget , cari parkir muter2 kena tarif , tau pungli / sistemnya , jujur puas banget seperri"
327,"Saya 2x kesini , rumah jalannya masuk wilayah perkampungan , tiket masuknya , . Saya kaget sekali.semoga kedepan pengelolaanya , jarang wisata bangkalan ."
328,"Bukit Kapur Jaddih namanya , lokasi dijadikan penambangan salah obyek wisata ramai dikujungi wisatawan . ditempat menyajikan pesona keindahan keunikan …"
329,"Saya kesini . Waktu musim hujan jalannya titik becek . Dari jalan raya belok masuk jalan bukit dicegat oknum mengaku petugas tiket masuk , resmi . Tiap spot …"
330,"Suasana pemandangannya bagus , jalan lokasi"
331,Wisata bekas galian batu kapur beraktifitas . Bagus dikembangkan wisata daerah . Kekurangannya banyaknya pungutan lokasi alasan …
332,"Tempatnya sebagus foto , panas terik spot foto angel pengambilan gambar bagus foto kayak negeri"
333,"Tempat wisata bagus hati hati debu bukit kapur . Lebih kesini sore panas . Tapi jalan masuk wisata bergelombang , kampung . Mohon diperbaiki akses jalannya ."
334,Sangat indah n nyaman.klo kayak kota Petra Jordan.di bentuk rumah.biar .
335,"View bagus , cuacanya panas . Saran kesini motor bawa masker debu truk tambang . Dan semoga kelola resmi biar pungutan liar masuk lokasi . Karena pengalaman rombongan adu mulut pungli"
336,Wisata indah kunjungi . Tapi kesini musim kemarau bawa masker . Karna debu truk . Kalo terlanjurr bawa disana jual harganya 5rb/2 pcs . Tempatnya lumayan gersang . …
337,"Tempatnya instagramable . Bagus selfi2 . Cuma siang panas banget . Lebih pakai sun block , topi payung . Sebaiknya pagi , sore ."
338,Katanya sedikir rawan pengunjung plat nomor daerah . Mungkin baiknya kesama teman-teman asli . Over all tempatnya bagus . Makin puncak lihat bangkalan
339,Tempat bagus sayang didukung fasilitas jalan memadai pengelolaan .
340,Tempatnya bagus . Bersih . Tp panas . 2x ditarik tiket masuk .
341,"cocok hunting foto , musim panas kesini lupa bawa payung"
342,Agak ngeri tempatnya preman anak muda pungli minta2 uang pengunjung kasih marah-marah . Mohon pemerintah nyaman
343,"SUBHANALLAH ! , Perpaduan gunung kapur putih & awan birunya FANTASTIS ! Kesini rugi angel poto mendapati !"
344,"Lokasi panas banget ! Jangan lupa bawa kacamata hitam , payung , topi . Ada kolam renang bersih fasilitas pendukung kamar mandi ( bilas ) pedagang makanan ringan . Hati-hati pungli , siapkan lembar uang pecahan ."
345,"Tempat bagus berfoto .. Sayangnya dimaksimalkan pengelolaan lokasi wisatanya , bayar biaya parkir berkali2 warga"
346,"Tempat liar , panas , bukit curam juga.bagus kemah berdua"
347,Datang pagi cuacanya segar
348,"Untuk Bagus sih , kesana 4th 😄 tau perkembangan 😁 akses jalan kesana sih bagus , keamanan benar-benar diperhatikan . Rawan begal ☹️ wisatawan …"
349,"Bekas galian Tambang Kapur menarik kunungi Madura . Disarankan membawa Topi , Jaket Masker : D"
350,"baguus keren tempatnya .. kesini bareng keluarga , wisata unik daerah madura"
351,"Butuh komitmen , wabil khusus desa mengembangkan wisata . Klo sukses desanya makmur"
352,"Tempat bagus foto foto , lupa bawa masker topi kesana .. jalannya berkelok kelok berdebu ( kesana musim kemarau ) daerah pergambangan .. ribu rupiah poto poto sepuasnya 😍 …"
353,"Tempatnya keren foto-foto , panas pungli"
354,"panas sejuk angin .. sayang masuk spot suruh bayar ...... ada,3 kali tarikan suruh bayar"
355,Kalau siang panasnya poll .... sarankan sore pagi .....
356,Cukup melelahkan sih bukit kapru 🥴 Sebab Map sesuai titik lokasi Wisata .. Google data map benerin pengunjung kesasar sesuai titik jalan wisata .. …
357,Cukup bagus spot foto . Fasilitas tahap pengembangan . Sayangnya pungli . Sebaiknya bawa orang asli madura hehe
358,"Airnya sesuai biru kemarin coklat , targetan jalanan"
359,"Tempat penuh kenangan . Karena ku kali berkumpul berwisata kerja SDN Cangkringmalang 2 ... istimewa , kealamiannya terjaga , indah"
360,Jangan kali musim kemarau . Berdebu mengenakkan
361,Tempat wisata bagus disarankan membawa payung masker penutup
362,Sepertinya pengelolaan .. Jd kotor perawatan
363,Lumayan murah Masuk tiket mobil 25.000 Naik kapal 30.000 ( mas kapal ramah pintar fotografer )
364,Bagus spot foto . Terutama siang sore .
365,Tempat wisata eksotis panas ampun . Tapi pos pembayaran terkadang maksa mintanya
366,"Tempat alami , bagus , sayang bergerak bayar , geser bayar , keamanan rawan daerah kampung narkoba begal ."
367,"Bayar masuk kendaraan 10rb ( motor ) , masuk lokasi bayar 5rb orang"
368,"Tempatnya bagus . Model wisata alam . Tp sayang , musim kemarau . Debunya . Siap-siap kaca mata masker . Disisi aktivitas penambangan . Debu muncul lalang truk penambangan . Kl kasih saran , penambangan diliburkan libur"
369,Memang hunting foto . Bagus spot
370,"pemandangannya bagus , jalanannya mantap . masuknya murah ."
371,"Pungliiiiiii ...... Lumayan sih pungli ... Tempatnya bareng tuh truk2 ambil batu2 , jalannya rusak , …"
372,"Panas banget , terawat penambangan"
373,Panorama oke .. dikelola ... Agar nyaman dikunjungi
374,"Tempat wisata alam utamanya menonjolkan Tebing Putih kapur pahatan unik tebingnya , tebing breksi Yogya taman sari Yogya"
375,"Buatan manusia , sisa sisa pertambangan aktif , panoramanya exotis👍👍👍 …"
376,Kalau musim kemarau mikir .. . .panas debunya kuat .....
377,"Bukit Kapur Jaddih dikenal nama Bukit Jaddih penambangan batu kapur putih wisata wisatawan berkunjung lokasi , pemandangannya …"
378,Fasilitas memadai ... kamar ( ) tersedia disekitar kolam renang . ( ) .. itupun nampung musim liburan ... antrinya ... ampun .. beristirahat ... ... kecuali sewa rumah …
379,Kotor ... panas .. sekedar memenuhi hasrat penasaran
380,"Bukit Jaddih bukit terbentuk batuan kapur tambang berproses wisata kearifan warga lokal mengelola . Akses mudah , jalan beraspal …"
381,"View asyiiikkk .. , unik .. Asal muasal bekas tambang batu kapur .. Panasx ... , huufhh teriiik menggigit .. , kesana musti pakai sunblock tebal biar gosong ... Hehehe .. Mampir deh jalan jalan pulau Madura gaess ..."
382,"salah alternatif wisata teman keluarga , kesini siang bolong pastikan mbawa topi kacamatabkrn panas silau"
383,"wisata bagus berfoto2 keluarga , teman pacar itupun pacar hehe , cuman pengelolaan pusat berfoto parkir liar …"
384,"tempatnya indah , pekerja kapur tambang . danau . jalanya tanah berhati hati . biaya masuknya 5000 rupiah 1 orang ."
385,"Yang suka offroad senang bawa motor bukit jeddih-bangkalan , banget jalur , cewek '' bawa motor mending 😁 lupa bawa minum diatas orang jualan …"
386,"View bagus ... Cm sayang , akses masuk jalan jelek & masuk bayar ..."
387,Asyik sepi corona pengunjung
388,"Cukup indah , perpaduan alam intruksi manusia . Cuma pelayanannya ."
389,BUKIT JADDIH MADURA bukit jadikan lahan pengambilan kapurnya bahan bangunan . Jadi bukit JADDIH aktifitas penambang kapur lengkap peralatannya …
390,"View bagus , sayang dikelola , cenderung pengelola"
391,"Perlu bawa payung , sunscreen , pakai sepatu baju lengan"
392,Tempat bagus banget panas mu gkin gunung kapurnya
393,Tempat nyaman banget jalan mata dimanjakan alam
394,"Udh 3x kesini , spot foto . Tempatnya unik , akses jalannya gaenak banget"
395,"bukit jaddhih madura wajib kunjungi .. view menarik & instagramable banget .. tiket masuk membayar 10rb orang , murah banget view sekeren . ."
396,"Tempat indah lan layak dikunjungi , akatetapi akses jalan sulit"
397,"Tempatnya bagus difasilitasi , kebanyakan pungli"
398,"wisata bagus view bagus , cuman masyarakat tukang palak . pengunjung nyaman semua2 serba bayar"
399,"Lokasi wisata spot foto menarik , sayangnya petunjuk arah lokasi minim lokasinya proses pembangunan"
400,"Ke bukit Jaddih rabu ( kerja ) . mobil orang Surabaya Bangkalan , tempuhnya jam-an Suramadu . Harusnya . Tapi mengikuti rute disarankan Google maps ( rute terdekat ) , …"
401,Ngak sesuai gambar karcisnya dobel-dobel Pelayananya sesuai Jalanya berdebu
402,spot menarik foto . Perlu dikelola didesain profesional .
403,"Sebenarnya Bukit Jaddih memiliki kemiripan Garuda Wisnu Kencana ( GWK ) , apple apple . Perlu sentuhan eye catching instagramable wisatawan berkunjung . Banyak dibenahi . …"
404,Nggak maksimal fotonya tmpatnya panaaaaassss banget tersorot sinar matahari langsung😎😎 …
405,"Tidak memuaskan , pungli 2kali , mintak , i uang"
406,"Menju lokasi jalanya , mendekati lokasi jalan bergelombang berdebu.tp tempatnya keren . Jika berkunjung lupa bawa masker ."
407,Perjalan bukit Jaddih - Madura akses . . Melewati jalanan2 desa sempit jalanan bagus ... Lumayan memakan yg.lama lihat terbayar perjalan …
408,"Bekas pertambangan kapur eksotis . Cocok hobby fotografi . Disarankan pagi sore , siang panasnya ampun 😁 …"
409,Sangat menarik ..
410,"Bekas tambang tertata pariwisata , masuknya bayar 3 kali masuk"
411,"Keren tempatnya teroganisir , banget bayarnya bayar 5k masuk bayar 10k parkir bayar 10k . Siapin uang 25 gaes"
412,"Wisata batu kapur bangkalan madura . Hanya 1 jam surabaya . Disarankan membawa mobil ceper , MPV SUV . Karena medannya lumayan terjal . Wajib membawa payung sunblock takut panas . Karena kawasan kapur udara panas matahari terik . Jika musim kemarau , telaga kehabisan air ."
413,Untuk foto lumayan menarik panas
414,Luar .....
415,"Datang disaat , musim kering . Air menyusut . Banyak sampah . …"
416,"Bukit kapur jaddih , madura . Tempatnya berdebu aktifitas penambangan kapur spot fotonya overral bagus banget"
417,"walah walah , sedia uang 10.000 gan 😁 …"
418,Bagus pemandangan .. Hanya fasilitas .
419,"Paling enak mendung kesini , kepanasan . Tempatnya luas banget bikin formasi pakai mobil"
420,bagus jadikan wisata panas banget
421,objek wisata potensi diperbaiki managemennya . pungli .
422,"Bagus pagi biar panas , jalannya lumayan rusak"
423,"Sudah berubah .. airnya sejernih . Sampah dimana-mana huhu : ( sok sad . Semoga pemerintah pengurus bukit jaddih memperhatikan . Disana bau pesing , tempat-tempat renov . …"
424,Biasa . Gunung kapur . Kalau siang puanas banget . Danaunya kering .
425,Spot foto abrakadarba ... Awesome
426,"Bagusss banget , ,luas banget tebing tebing kapur menjulang ... pokokny kudu mampir , ,tepatnya pulau madura , lho jembatan suramadu , spot spot kerennya , n suka kuda , tersedia lho , , ,di bukit kapur jaddih gua , bernama goa pute"
427,Kalau pemkab anggaran jalan masuk apbd destinasi kebanggaan bangkalan masyarakat menjaga oknum pungli pungli bertanggung keamanan ramai destinasi pengunjung nyaman
428,"Banyak pungli , kebanyakan bayar masuk wisatanya malas kapok mending pantai"
429,"Bukit Jaddih , pesona wisata Madura tersembunyi . View bagus banget .. Rekomendet foto preweed . Serius ..."
430,Sangat mengesankan .. tencuuu `` Madura '' & ( Bukit Kapur Jaddih ) salah surga dunia . 😍 …
431,"Banyak pungli masuk motor selasa Masuk portal bayar 2rb/orang , masuk dikasih tiket warna pink , masuk parkiran ditagih 5rb / orang"
432,"Makanya orang dirampok disana , , .. Tiap tingkatannya uang .. Ya suka gblk dibegitukan , rata-rata orang madura mah , ambil keuntungan perasaan . Walaupun bagus foto"
433,"Anginya kemarin kencang , kapur berterbangan sesak . Trs pungutan gais , kayak spot dipegang beberap orang hra bayar min /org 5rb . Syedihhh"
434,"bagus sih , recomended musim panas , debu beterbsngan , kendaraan kotor . lahi , hati-hati preman palak duit ."
435,"Saya penasaran ke'indahannya , mencari info Bukit Jeddih , rencana bawa rombongan min 1 bus bus masuk , , pengelola TPQ anak '' ajak refresing acara akhirussanah . mengharapkan inf"
436,"Jalan lokasi rusak berhati-hati berpapasan roda , tiket masuk 5 ribu rupiah , masuk danau buatan , perahu hias orang 5 ribu rupiah , pemandangan indah …"
437,Tempatnya bagus .. kesini disarankan rombongan
438,Untuk pengelolaan bukit jadih tolong ditertibkan iuran masuk kampung bayar .. pintu masuk bayar ... …
439,Cukup kreatif spot photo instagramable ...
440,Keren .. aksesnya susah truk material
441,Bukit kapur bekas tambang eksotik
442,"Sepi , terawat , akses jalan lokasi rusak ."
443,"Masih alami tradisional , penambangan kapurnya aktif mengganggu pariwisata , pengelolaan profesional"
444,Puanas .... BerHati hati Banyak Pungutan Tiket Liar ... Mengatas Namakan Wisata Bukit Jeddih ... jangab Sampai Salah Masuk ... Mending Mengikuti Kendaraan Besar Atau Truk ... Karena Banyak Gang Gang Kecil Trus Dikasih Tulisan Bukit Jeddih …
445,"Tempat bagus ngisi liburan bareng keluarga , stres pengin cuci mata cocok banget"
446,Tempat alami bagus ditata sarana ditambah . Tx
447,Tempatnya bagus sayang rambu2 petunjuk arah orang pendatang bingung ...
448,"Lokasi Makin Keren , Pengelolaan diperbaiki biar pengunjung nyaman"
449,"Jangan lupa bawa kacamata , masker , payung gesss , , debu , panas , view bangus renov , , ,"
450,Banyak pungli objek foto .
451,"tempatnya bagus , keren , kearah wisata pemandangan"
452,"Awal berasa doang , area bukit disamperin orang diarahkan spot2 Poto , lokasi asik , spot indah , saran kebersihan diperhatikan …"
453,Takjub pemandangan sini.sangat biasa.bukit jaddih bekas tambang batu kapur gess
454,Bagus foto-foto
455,"Sangatlah sayang lokasi , sepi dampak Corona"
456,"Tempatnya bagus , kelola warga lokal pungli masuk wisata ."
457,Keren .... Pas panasan kerennya ... 😭😭😭 …
458,"Bgus sih , sepi"
459,Salah wisata recomend Bangkalan Madura
460,Tempatnya panas musim hujan.kalau kesana dihimbau bawa masker topi pakai sunblock
461,Recomended . Jalan susah . Jgn lpa bawa topi . Masker kacamata hitam
462,Datang berubah lumut .. mumpung berwarna putih 🤭 …
